"refseq_mrna","hgnc_symbol","prot_length"
"NM_001662","ARF5",181
"NM_002355","M6PR",278
"NM_004451","ESRRA",424
"NM_002014","FKBP4",460
"NM_019885","CYP26B1",513
"NM_144736","NDUFAF7",442
"NM_001350024","NDUFAF7",442
"NM_001350025","NDUFAF7",442
"NM_032020","FUCA2",468
"NM_001042610","DBNDD1",159
"NM_005114","HS3ST1",308
"NM_004186","SEMA3F",786
"NM_000492","CFTR",1481
"NM_000786","CYP51A1",510
"NM_001346259","USP28",1078
"NM_001346257","USP28",1078
"NM_001346253","USP28",1078
"NM_001346258","USP28",1078
"NM_020886","USP28",1078
"NM_001346254","USP28",1078
"NM_001346255","USP28",1078
"NM_001346252","USP28",1078
"NM_178122","STPG1",288
"NM_001199014","STPG1",288
"NM_001322862","NIPAL3",325
"NM_001322863","NIPAL3",325
"NM_001322858","NIPAL3",325
"NM_001322859","NIPAL3",325
"NM_001322860","NIPAL3",325
"NM_001322861","NIPAL3",325
"NM_018487","TMEM176A",236
"NM_001164771","SLC7A2",699
"NM_144617","HSPB6",161
"NM_001130519","ZNF195",607
"NM_002612","PDK4",412
"NM_001371936","CCL26",95
"NM_001371938","CCL26",95
"NM_153676","USH1C",900
"NM_005402","RALA",207
"NM_001371354","BCAP29",242
"NM_001371353","BCAP29",242
"NM_001363483","BCAP29",242
"NM_018844","BCAP29",242
"NM_018842","BAIAP2L1",512
"NM_006539","CACNG3",316
"NM_017870","TMEM132A",1025
"NM_004422","DVL2",737
"NM_001199816","GGCT",115
"NM_024604","RPAP3",666
"NM_173355","UPP2",318
"NM_006799","PRSS21",315
"NM_144956","PRSS21",315
"NM_005523","HOXA11",314
"NM_002996","CX3CL1",398
"NM_001304392","CX3CL1",398
"NM_015366","PRR5",380
"NM_024108","TRAPPC6A",174
"NM_022827","SPATA20",803
"NM_000626","CD79B",230
"NM_001040456","RHBDD2",365
"NM_001346188","RHBDD2",365
"NM_001346189","RHBDD2",365
"NM_001369658","RPUSD1",313
"NM_058192","RPUSD1",313
"NM_001324086","RPUSD1",313
"NM_001001410","TSR3",313
"NM_145798","OSBPL7",843
"NM_001366178","ARHGAP33",1288
"NM_005003","NDUFAB1",157
"NM_015982","YBX2",365
"NM_001199898","PDK2",344
"NM_004138","KRT33A",405
"NM_201650","LRRC23",344
"NM_001012634","IL32",169
"NM_172238","TFAP2D",453
"NM_001261462","SPRTN",208
"NM_004075","CRY1",587
"NM_005091","PGLYRP1",197
"NM_001363339","STARD3NL",235
"NM_032016","STARD3NL",235
"NM_001769","CD9",229
"NM_001025159","CD74",297
"NM_001023","RPS20",120
"NM_001143912","FAM76A",342
"NM_145792","MGST1",156
"NM_001868","CPA1",420
"NM_001381913","SYPL1",260
"NM_006754","SYPL1",260
"NM_001381910","SYPL1",260
"NM_005493","RANBP9",730
"NM_001382707","CD4",459
"NM_001382706","CD4",459
"NM_000616","CD4",459
"NM_001382714","CD4",459
"NM_001382705","CD4",459
"NM_001195015","CD4",459
"NM_001195014","CD4",459
"NM_001195016","CD4",459
"NM_001195017","CD4",459
"NM_018173","PLEKHG6",791
"NM_001370300","SS18L2",78
"NM_006675","TSPAN9",240
"NM_017659","QPCTL",383
"NM_006247","PPP5C",500
"NM_001204284","PPP5C",500
"NM_175748","UBR7",426
"NM_198794","MAP4K5",847
"NM_006774","INMT",264
"NM_001369408","ERCC1",324
"NM_001369410","ERCC1",324
"NM_001369409","ERCC1",324
"NM_001369411","ERCC1",324
"NM_202001","ERCC1",324
"NM_003979","GPRC5A",358
"NM_015987","HEBP1",190
"NM_001320974","COX15",411
"NM_001320976","COX15",411
"NM_001372026","COX15",411
"NM_001372028","COX15",411
"NM_001320975","COX15",411
"NM_001372027","COX15",411
"NM_001372024","COX15",411
"NM_078470","COX15",411
"NM_001372025","COX15",411
"NM_017716","MS4A12",268
"NM_005054","RGPD5",1766
"NM_022167","XYLT2",866
"NM_177439","FTSJ1",328
"NM_002980","SCTR",441
"NM_002779","PSD",1025
"NM_020826","SYT13",427
"NM_001247987","SYT13",427
"NM_003068","SNAI2",269
"NM_005662","VDAC3",284
"NM_001126335","SLC7A9",488
"NM_014270","SLC7A9",488
"NM_001243036","SLC7A9",488
"NM_000806","GABRA1",457
"NM_001283035","RTF2",337
"NM_001080431","SLC45A4",799
"NM_014781","RB1CC1",1595
"NM_016248","AKAP11",1902
"NM_148920","PIGQ",761
"NM_004063","CDH17",833
"NM_007255","B4GALT7",328
"NM_001330185","SLC39A9",242
"NM_001385866","FAM13B",916
"NM_001385996","FAM13B",916
"NM_001385977","FAM13B",916
"NM_001385998","FAM13B",916
"NM_001385992","FAM13B",916
"NM_016603","FAM13B",916
"NM_001385921","FAM13B",916
"NM_007320","RANBP3",500
"NM_019015","CHPF2",773
"NM_007285","GABARAPL2",118
"NM_000261","MYOC",505
"NM_032822","FAM136A",139
"NM_001329758","FAM136A",139
"NM_001329757","FAM136A",139
"NM_001329755","FAM136A",139
"NM_003580","NSMAF",918
"NM_000531","OTC",355
"NM_001376525","TTC17",1142
"NM_018259","TTC17",1142
"NM_001376527","TTC17",1142
"NM_001376528","TTC17",1142
"NM_001376526","TTC17",1142
"NM_022658","HOXC8",243
"NM_001031727","MRI1",370
"NM_148894","BOD1L1",3052
"NM_005646","TARBP1",1622
"NM_024519","RIPOR1",1220
"NM_023004","RTN4R",474
"NM_002789","PSMA4",262
"NM_001330676","PSMA4",262
"NM_080829","RIPOR3",947
"NM_007009","ZPBP",352
"NM_004937","CTNS",368
"NM_005565","LCP2",534
"NM_001017408","GOPC",455
"NM_001920","DCN",360
"NM_133503","DCN",360
"NM_001192","TNFRSF17",185
"NM_018141","MRPS10",202
"NM_002087","GRN",594
"NM_001195753","THAP3",240
"NM_001394496","THAP3",240
"NM_001394499","THAP3",240
"NM_004781","VAMP3",101
"NM_021995","UTS2",140
"NM_002901","RCN1",332
"NM_181471","RFC2",355
"NM_033215","PPP1R3F",800
"NM_001008537","NEXMIF",1517
"NM_005435","ARHGEF5",1598
"NM_004289","NFE2L3",695
"NM_024873","TNIP3",326
"NM_025073","SIKE1",208
"NM_012464","TLL1",1014
"NM_080617","CBLN4",202
"NM_005602","CLDN11",208
"NM_001185056","CLDN11",208
"NM_001286050","FAM168A",245
"NM_152222","RELT",431
"NM_001353049","CDC27",825
"NM_001293091","CDC27",825
"NM_001353035","CDC27",825
"NM_001256","CDC27",825
"NM_004572","PKP2",882
"NM_001167929","IL1RAP",571
"NM_018982","YIPF1",307
"NM_052853","ADCK2",627
"NM_001134224","INPP4A",978
"NM_006931","SLC2A3",497
"NM_001040092","ENPP2",864
"NM_048368","CTDP1",868
"NM_018423","STYK1",423
"NM_002067","GNA11",360
"NM_032607","CREB3L3",462
"NM_015401","HDAC7",992
"NM_001368046","HDAC7",992
"NM_021821","MRPS35",324
"NM_001282476","APPBP2",586
"NM_006380","APPBP2",586
"NM_001217","CA11",329
"NM_024710","ISOC2",222
"NM_013333","EPN1",551
"NM_001771","CD22",848
"NM_005315","GSC2",206
"NM_003411","ZFY",802
"NM_001369706","ZFY",802
"NM_001369703","ZFY",802
"NM_001369705","ZFY",802
"NM_017829","HDHD5",394
"NM_000218","KCNQ1",677
"NM_014555","TRPM5",1166
"NM_021643","TRIB2",344
"NM_017602","OTUD5",572
"NM_015698","GPKOW",477
"NM_014691","AQR",1486
"NM_001311182","KLK14",252
"NM_022046","KLK14",252
"NM_018414","ST6GALNAC1",601
"NM_001289107","ST6GALNAC1",601
"NM_001281454","MBD3",260
"NM_014583","LMCD1",366
"NM_006503","PSMC4",419
"NM_017559","FNDC8",325
"NM_172207","CAMKK1",521
"NM_014716","ACAP1",741
"NM_001304777","DERL2",240
"NM_016041","DERL2",240
"NM_015718","NOX3",569
"NM_020959","ANO8",1233
"NM_015015","KDM4B",1097
"NM_001160300","PANX2",644
"NM_001320605","ICAM3",548
"NM_002162","ICAM3",548
"NM_020902","CAMSAP3",1250
"NM_033427","CTTNBP2",1664
"NM_001363349","CTTNBP2",1664
"NM_016188","ACTL6B",427
"NM_007317","KIF22",666
"NM_022119","PRSS22",318
"NM_001712","CEACAM1",527
"NM_022828","YTHDC2",1431
"NM_001345975","YTHDC2",1431
"NM_001345976","YTHDC2",1431
"NM_017814","TMEM161A",480
"NM_014567","BCAR1",871
"NM_001170721","BCAR1",871
"NM_018416","FOXJ2",575
"NM_001065","TNFRSF1A",456
"NM_005113","GOLGA5",732
"NM_001407","CELSR3",3313
"NM_006244","PPP2R5B",498
"NM_005609","PYGM",843
"NM_005178","BCL3",455
"NM_001199860","KCNAB2",368
"NM_004855","PIGB",555
"NM_032512","PDZD4",770
"NM_001303516","PDZD4",770
"NM_015893","PRLH",88
"NM_022912","REEP1",202
"NM_005860","FSTL3",264
"NM_020526","EPHA8",1006
"NM_004237","TRIP13",433
"NM_001142599","P4HA2",536
"NM_014909","VASH1",366
"NM_004524","LLGL2",1016
"NM_000526","KRT14",473
"NM_019010","KRT20",425
"NM_006944","SPP2",212
"NM_004493","HSD17B10",262
"NM_002007","FGF4",207
"NM_170678","NMRK2",231
"NM_001375469","NMRK2",231
"NM_001375467","NMRK2",231
"NM_001031849","MASP1",381
"NM_173216","ST6GAL1",407
"NM_014177","TIMM21",249
"NM_025227","BPIFB2",459
"NM_020695","REXO1",1222
"NM_014160","MKRN2",417
"NM_018025","GPATCH1",932
"NM_001257407","IL4R",811
"NM_203500","KEAP1",625
"NM_001324225","P2RY10",340
"NM_014499","P2RY10",340
"NM_001324221","P2RY10",340
"NM_001324218","P2RY10",340
"NM_022648","TNS1",1736
"NM_002507","NGFR",428
"NM_004822","NTN1",605
"NM_016048","ISOC1",299
"NM_001039705","TRO",1432
"NM_020310","MNT",583
"NM_014713","LAPTM4A",234
"NM_003817","ADAM7",755
"NM_014369","PTPN18",461
"NM_000797","DRD4",420
"NM_021920","SCT",122
"NM_000382","ALDH3A2",486
"NM_005990","STK10",969
"NM_013351","TBX21",536
"NM_001300900","MRPS34",226
"NM_001218","CA12",355
"NM_145160","MAP2K5",449
"NM_020375","TIGAR",271
"NM_019851","FGF20",212
"NM_004686","MTMR7",661
"NM_001872","CPB2",424
"NM_031453","FAM107B",307
"NM_003718","CDK13",1513
"NM_139022","TSPAN32",321
"NM_018099","FAR2",516
"NM_012288","TRAM2",371
"NM_016369","CLDN18",262
"NM_017578","ROPN1",213
"NM_004547","NDUFB4",130
"NM_022070","HEATR6",1182
"NM_015701","ERLEC1",484
"NM_001370649","CLIC5",411
"NM_001370650","CLIC5",411
"NM_001114086","CLIC5",411
"NM_015348","TMEM131",1884
"NM_016300","ARPP21",813
